group;ddate;views;clicks;spent;basket;orders;orders_money
B;03.09.2025;6100;108;308;6;2;2350
B;04.09.2025;10084;132;792;24;5;1441
B;01.09.2025;9953;176;1221;39;8;2899
B;01.09.2025;997;37;418;10;5;8330
B;01.09.2025;30942;261;1512;52;15;6323
B;04.09.2025;535;8;90;2;2;966
B;01.09.2025;0;0;0;0;1;630
B;04.09.2025;0;0;0;0;1;203
B;01.09.2025;3632;140;1488;24;13;14921
B;04.09.2025;83425;512;2045;96;33;16973
B;01.09.2025;31331;1124;23149;530;301;152506
B;05.09.2025;4294;46;238;9;7;2558
B;05.09.2025;1005;21;57;1;0;0
B;02.09.2025;50781;428;2821;104;24;12088
B;05.09.2025;4947;286;2881;99;69;20556
B;04.09.2025;12719;181;3836;68;32;16163
B;01.09.2025;5466;425;7477;312;163;24916
B;02.09.2025;72391;1173;3380;200;44;25431
B;05.09.2025;6202;341;3342;122;71;27221
B;05.09.2025;19852;839;6659;251;67;38344
B;04.09.2025;49947;1071;2225;118;11;17630
B;02.09.2025;2271;54;475;14;2;1534
B;02.09.2025;225289;2934;17720;506;100;72787
B;04.09.2025;12045;523;13119;208;110;79507
B;03.09.2025;1024;15;46;0;1;1104
B;05.09.2025;5370;510;7938;324;203;53850
B;02.09.2025;4593;199;3658;73;35;11737
B;03.09.2025;780;18;195;4;1;1104
B;01.09.2025;4919;56;312;8;3;897
B;05.09.2025;16347;987;9658;431;303;144519
B;03.09.2025;11145;694;6947;135;36;56323
B;01.09.2025;6669;626;7313;332;214;64008
B;05.09.2025;4849;270;2609;102;69;17976
B;01.09.2025;40974;694;4174;124;28;19396
B;02.09.2025;497;14;226;3;1;1815
B;01.09.2025;2733;26;182;8;4;2945
B;04.09.2025;3833;53;1621;13;5;3552
B;05.09.2025;799;9;27;2;0;0
B;03.09.2025;18652;742;8807;177;69;58107
B;05.09.2025;0;0;0;0;1;261
B;05.09.2025;26229;519;1553;72;11;7779
B;05.09.2025;332;29;186;13;13;4713
B;03.09.2025;2455;61;1386;31;21;14582
B;02.09.2025;25847;1467;16159;500;126;69087
B;03.09.2025;0;0;0;0;1;472
B;01.09.2025;0;0;0;0;2;562
B;02.09.2025;11977;286;6272;119;59;30159
B;04.09.2025;42614;290;1719;88;79;39611
B;05.09.2025;11244;230;4481;109;70;35276
B;03.09.2025;50018;289;2105;46;15;7601
